,principal component 1,principal component 2,class
284,2.203611244459377,-1.9521476385771344,excellent
285,2.170269934631053,-2.0984909180207176,good
286,2.169674458004783,-1.997437193144804,good
287,2.2028153951370926,-1.9588526854717574,good
288,2.2083788590574187,-2.0158977408701095,good
289,2.187545139220742,-1.9524308467823621,good
290,2.1709166184223783,-1.9958280123592966,good
291,2.167130960952372,-2.0124777441885597,good
292,2.198130511924533,-1.9095632100864388,good
293,2.1905874124642115,-1.9682469998375107,good
294,2.166471587553715,-1.9470026677223085,good
295,2.1508015959347433,-1.95291183558249,good
296,2.1771788557646374,-1.9194292637370998,good
297,2.1769994715106873,-1.9030432211019737,good
298,2.1799143011704376,-1.9096316803982998,good
299,2.1539476760244254,-1.8867754270845838,good
300,2.1603734612479233,-1.8863215236048296,good
301,2.169260550059422,-1.8483269763327328,good
302,2.194882378817482,-1.8160173826592483,good
303,2.1025299624181004,-1.9325389338178915,good
304,2.1165301706279798,-1.9474702836680087,good
305,2.0981901922993633,-1.9966813109048527,good
306,2.1167658827275955,-2.0145663822683866,good
307,2.069637345574648,-2.10055050362894,good
308,2.0466391599696867,-2.0782921239634375,good
309,2.062405840868106,-2.1062246173079036,good
310,2.09879346934743,-1.9740985580736172,good
311,2.087012558997995,-1.9620005765938011,good
312,2.0307714304012254,-2.0919316145039013,good
313,2.0638636454441524,-2.0037591193678463,good
314,2.078552592477702,-1.9636065309987851,good
315,2.038747785113516,-1.938625324170673,good
316,2.039016825151552,-1.9941763654036329,good
317,2.0126508707720205,-1.9273901989106261,good
318,2.0326585407103224,-1.9382530052096383,good
319,1.9830641614883207,-1.8592878321571327,good
320,2.037715388855775,-1.8958617206364652,good
321,2.001749523673652,-1.9353097409027669,good
322,1.9686796000768456,-1.967491232275974,good
323,1.9767697386128682,-1.9815145075197083,good
324,1.9582410412220839,-1.9707475309754643,good
325,1.9800055614767158,-1.8746388744841314,good
326,1.9929717165785843,-1.884189096944961,good
327,1.9771389286784251,-1.9459761313672888,good
328,2.0049082985239934,-1.961782189821421,good
329,1.9824361736750866,-1.9531274448836096,good
330,2.003801688240074,-1.9092926138305146,good
331,1.9299519603542206,-2.0842454332136904,good
332,1.9919722122909465,-1.908940277706146,good
333,1.972797679104414,-1.9576417986228194,good
334,1.9821302710048814,-1.9575499958474973,good
335,1.987327099669336,-1.9188260570970803,good
336,1.9636417191668605,-1.904600703827803,good
337,1.9636193866859675,-1.9636359327799762,good
338,1.9835258557814044,-1.9205853884730655,good
339,1.9586519477815865,-1.909673270983538,good
340,1.9519679755070434,-1.9601521598340292,good
341,1.891811559270675,-1.9919496885399448,good
342,1.9315681700582177,-1.946943393017138,good
343,1.9501579873054418,-1.9172650492264203,good
344,1.9516586382529608,-1.9243440557940994,good
345,1.8521715675917103,-2.085761841449175,good
346,1.8639195502665729,-1.9866349191967487,good
347,1.85605901634123,-1.988335860964911,good
348,1.8944366396546202,-1.897398103661347,good
349,1.889953251802169,-1.8966949710766028,good
350,1.8775864949209173,-1.9505344472783879,good
351,1.8706900505801962,-1.9047480692340175,good
352,1.855594536711181,-1.9015612691111234,good
353,1.8501307007663579,-1.9008911419793282,good
354,1.8475818580144487,-1.9561784438603835,good
355,1.846986864208235,-1.8467063351508506,good
356,1.8330654280601328,-1.952757453458142,good
357,1.807887985797789,-1.8949176516521182,good
358,1.8013210847846866,-1.8853824432256614,good
359,1.8403061725763452,-1.8660485062906798,good
360,1.7993543237226877,-1.8931864125513849,good
361,1.8063068690847577,-1.9019368963219254,good
362,1.7862400561837555,-1.891048346681963,good
363,1.6888479895279511,-2.0654777586938327,good
364,1.6717908259687904,-2.0650786699533974,good
365,1.6846052521862607,-1.9609035891451174,good
366,1.7329238831852212,-1.986499609992642,good
367,1.6903116368134634,-1.9707756506462735,good
368,1.7192028873231258,-1.9230842432173372,good
369,1.7148864451900547,-1.8717223349055028,good
370,1.6424769858850754,-2.0584272969748643,good
371,1.7120805806907018,-1.8799916170613815,good
372,1.6819909704123632,-1.923189443607668,good
373,1.6961354614215165,-1.8815260720870977,good
374,1.6702898133782234,-1.9247329076169806,good
375,1.663911732714823,-1.8728903301445823,good
376,1.6703143849302053,-1.8722949959433812,good
377,1.6683327995837771,-1.8139321800103998,good
378,1.6412710947848879,-1.9096216020671397,good
379,1.6133628964888944,-1.9681157469022597,good
380,1.623004251404506,-1.9091355251605375,good
381,1.6201233259132553,-1.8548630799705634,good
382,1.6368682377502242,-1.7581657289875383,good
383,1.6059655185514032,-1.85176664366428,good
384,1.6275704671490108,-1.8076054441724636,good
385,1.6216411380156308,-1.808110613638378,good
386,1.6224281318407934,-1.7611012610112673,good
387,1.637008297499067,-1.6534195071104312,good
388,1.5819505000449405,-1.8551560613675409,good
389,1.5955973357271984,-1.7483116806866486,good
390,1.5014061772041618,-1.9226892894266308,good
391,1.62793457347832,-1.6570011619266722,good
392,1.5017359933113466,-1.9237398094258478,good
393,1.6095280620748884,-1.6528422863975454,good
